,Athlete_ID_x,Fight_Result,Wins_x,Losses_x,Takedowns_Ratio_x,Fighting_Category_x,Age_x,Streak_Athlete_ID_x,Significant_Strikes_Ratio_x,Athlete_ID_y,Wins_y,Losses_y,Fighting_Category_y,Age_y,Streak_Athlete_ID_y,Takedowns_Ratio_y,Significant_Strikes_Ratio_y,Fight_Style_Matchup,Age_diff,Height_diff,Weight_diff,Reach_diff,Significant_Strikes_Ratio_diff,Takedowns_Ratio_diff,Streak_Athlete_ID_diff
173,alan-jouban,0,17,7,0.3333333333333333,Striking,31.0,-1,0.5030349013657056,albert-tumenov,17,4,Striking,21.0,-1,0.0,0.42018072289156627,Striking vs Striking,10.0,1.0,1.5,0.5,0.08285417847413934,0.3333333333333333,0
36,abdul-razak-alhassan,1,12,7,0.06666666666666667,Grappling,35.0,1,0.49846625766871167,alessio-di-chirico,13,7,Striking,29.0,1,0.32142857142857145,0.3972457627118644,Grappling vs Striking,6.0,-2.0,-0.5,-1.0,0.10122049495684726,-0.2547619047619048,0
116,aisling-daly,1,16,5,0.0,Striking,25.0,1,0.5204081632653061,alex-chambers,5,4,Striking,34.0,1,0.4117647058823529,0.54,Striking vs Striking,-9.0,-1.0,0.20000000000000284,1.0,-0.01959183673469389,-0.4117647058823529,0
328,alex-da-silva,0,21,4,0.25,Striking,21.0,-1,0.4634146341463415,alexander-yakovlev,24,10,Striking,32.0,-1,0.1935483870967742,0.473972602739726,Striking vs Striking,-11.0,-7.0,0.0,-1.0,-0.010557968593384537,0.05645161290322581,0
486,alexander-volkov,1,38,11,0.3333333333333333,Grappling,34.0,3,0.5733021077283372,alexandr-romanov,18,3,Grappling,31.0,1,0.2765957446808511,0.5165354330708661,Grappling vs Grappling,3.0,5.0,-6.5,5.0,0.056766674657471095,0.05673758865248224,2
399,alex-perez,0,25,9,0.2692307692307692,Striking,29.0,-2,0.46365914786967416,alexandre-pantoja,29,5,Striking,31.0,-1,0.038461538461538464,0.5008412787436904,Striking vs Striking,-2.0,1.0,1.5,-1.5,-0.037182130874016284,0.23076923076923075,-1
248,aleksei-oleinik,0,60,17,0.26666666666666666,Grappling,40.0,-1,0.48906048906048905,alistair-overeem,47,19,Striking,37.0,-1,0.04918032786885246,0.6400193798449613,Grappling vs Striking,3.0,-2.0,-1.5,0.0,-0.15095889078447222,0.2174863387978142,0
487,alexander-volkov,1,38,11,0.3333333333333333,Grappling,32.0,2,0.5733021077283372,alistair-overeem,47,19,Striking,39.0,1,0.04918032786885246,0.6400193798449613,Grappling vs Striking,-7.0,3.0,-1.0,0.0,-0.06671727211662404,0.28415300546448086,1
9731,mizuki-inoue,0,15,6,0.0,Striking,24.0,-1,0.5086848635235732,amanda-lemos,14,4,Striking,32.0,-1,0.09090909090909091,0.5435745937961596,Striking vs Striking,-8.0,-1.0,3.0,0.5,-0.03488973027258635,-0.09090909090909091,0
9778,montserrat-ruiz,0,10,4,0.6666666666666666,Grappling,26.0,-2,0.27358490566037735,amanda-lemos,14,4,Striking,33.0,-2,0.09090909090909091,0.5435745937961596,Grappling vs Striking,-7.0,-4.0,2.9000000000000057,-4.0,-0.2699896881357822,0.5757575757575757,0
297,alex-andrade,0,0,0,0.0,Grappling,24.0,-1,0.0,amaury-bitetti,0,0,Grappling,29.0,-1,0.0,0.0,Grappling vs Grappling,-5.0,0.0,0.0,0.0,0.0,0.0,0
266,alessandro-costa,0,14,4,0.0,Grappling,26.0,-1,0.47689075630252103,amir-albazi,17,2,Grappling,29.0,-1,0.12,0.34763313609467456,Grappling vs Grappling,-3.0,-1.0,14.5,-1.0,0.12925762020784648,-0.12,0
202,albert-morales,1,7,4,0.21428571428571427,Striking,24.0,1,0.3572241183162685,andre-soukhamthath,13,8,Striking,26.0,1,0.26666666666666666,0.44039735099337746,Striking vs Striking,-2.0,0.0,-1.0,2.0,-0.08317323267710897,-0.05238095238095239,0
223,alejandro-perez,1,23,9,0.13636363636363635,Striking,25.0,2,0.35639880952380953,andre-soukhamthath,13,8,Striking,26.0,2,0.26666666666666666,0.44039735099337746,Striking vs Striking,-1.0,-3.0,8.5,-3.0,-0.08399854146956792,-0.1303030303030303,0
