,Athlete_ID_x,Opponent_ID,Fight_Date,Fight_Result,Delta_Time,Wins_x,Losses_x,Significant_Strikes_Ratio_x,Takedowns_Ratio_x,Fighting_Category_x,Age_x,Height_x,Weight_x,Reach_x,Athlete_ID_y,Wins_y,Losses_y,Significant_Strikes_Ratio_y,Takedowns_Ratio_y,Fighting_Category_y,Age_y,Height_y,Weight_y,Reach_y
0,Muhammad-Naimov,erik-silva,2024-02-25,1,1.0,11,3,0.4368131868131868,0.0,Striking,29.0,69.0,145.0,70.0,erik-silva,9,3,0.7021276595744681,0.6,Striking,35.0,69.0,146.0,71.0
1,Muhammad-Naimov,felipe-lima,2024-06-22,0,1.0,11,3,0.4368131868131868,0.0,Striking,29.0,69.0,145.0,70.0,felipe-lima,14,1,0.45098039215686275,0.14285714285714285,Striking,25.0,66.0,146.0,68.0
2,Muhammad-Naimov,jamie-mullarkey,2023-03-06,1,2.0,11,3,0.4368131868131868,0.0,Striking,28.0,69.0,145.0,70.0,jamie-mullarkey,17,8,0.46578140960163433,0.06382978723404255,Striking,27.0,72.0,171.9,74.0
3,Muhammad-Naimov,nathaniel-wood,2023-10-21,1,2.0,11,3,0.4368131868131868,0.0,Striking,28.0,69.0,145.0,70.0,nathaniel-wood,21,6,0.5135970333745364,0.0,Striking,29.0,66.0,154.8,69.0
4,aalon-cruz,uros-medic,2021-07-03,0,4.0,8,4,0.39067055393586003,0.0,Striking,29.0,72.0,155.0,78.0,uros-medic,10,3,0.6065573770491803,0.0,Striking,27.0,73.0,171.0,71.0
5,aaron-brink,andrei-arlovski,2000-11-17,0,25.0,8,3,0.0,0.0,Grappling,23.0,75.0,231.0,0.0,andrei-arlovski,34,24,0.4575910662057963,0.22580645161290322,Striking,20.0,75.0,245.0,77.0
6,aaron-phillips,gaston-bolanos,2023-04-15,0,2.0,12,5,0.5337837837837838,0.0,Striking,31.0,69.0,136.0,71.0,gaston-bolanos,8,4,0.508833922261484,0.0,Striking,30.0,67.0,135.5,69.0
7,aaron-phillips,jack-shore,2020-07-15,0,5.0,12,5,0.5337837837837838,0.0,Striking,28.0,69.0,136.0,71.0,jack-shore,17,3,0.5827814569536424,0.07547169811320754,Striking,24.0,68.0,145.5,71.0
8,aaron-phillips,matt-hobar,2014-08-23,0,11.0,12,5,0.5337837837837838,0.0,Striking,22.0,69.0,136.0,71.0,matt-hobar,9,3,0.42231075697211157,0.0,Striking,25.0,70.0,136.0,70.0
9,aaron-phillips,sam-sicilia,2014-05-24,0,11.0,12,5,0.5337837837837838,0.0,Striking,22.0,69.0,136.0,71.0,sam-sicilia,15,8,0.33508541392904073,0.0,Striking,26.0,68.0,144.0,67.0
10,aaron-riley,joe-brammer,2010-05-29,1,15.0,29,14,0.0,0.0,Grappling,26.0,68.0,156.0,0.0,joe-brammer,7,2,0.0,0.0,Grappling,24.0,68.0,156.0,0.0
